iter	Passed	Remaining
0	35	35096
1	68	34016
2	92	30848
3	128	32055
4	157	31315
5	184	30569
6	207	29486
7	230	28618
8	255	28158
9	279	27716
10	299	26899
11	321	26506
12	347	26358
13	369	26012
14	390	25639
15	416	25608
16	445	25746
17	471	25700
18	496	25635
19	519	25470
20	546	25466
21	568	25282
22	594	25271
23	616	25078
24	639	24927
25	662	24812
26	685	24704
27	709	24613
28	731	24494
29	753	24352
30	774	24203
31	796	24086
32	816	23914
33	839	23843
34	857	23642
35	879	23539
36	900	23441
37	923	23378
38	947	23345
39	972	23342
40	998	23349
41	1025	23387
42	1055	23490
43	1087	23628
44	1120	23772
45	1142	23696
46	1163	23594
47	1188	23572
48	1211	23504
49	1237	23520
50	1260	23447
51	1283	23393
52	1304	23310
53	1325	23217
54	1345	23125
55	1369	23081
56	1390	22996
57	1409	22898
58	1434	22885
59	1454	22783
60	1475	22711
61	1501	22711
62	1523	22662
63	1551	22687
64	1571	22601
65	1599	22632
66	1622	22594
67	1649	22611
68	1668	22509
69	1690	22458
70	1712	22411
71	1732	22333
72	1756	22308
73	1774	22210
74	1797	22166
75	1814	22059
76	1833	21982
77	1857	21959
78	1876	21878
79	1894	21783
80	1910	21678
81	1931	21626
82	1951	21562
83	1974	21536
84	2004	21580
85	2033	21610
86	2060	21626
87	2083	21590
88	2108	21577
89	2132	21562
90	2158	21565
91	2183	21552
92	2209	21551
93	2233	21523
94	2256	21492
95	2277	21445
96	2302	21438
97	2324	21399
98	2347	21360
99	2368	21312
100	2387	21253
101	2407	21198
102	2425	21125
103	2447	21088
104	2464	21002
105	2484	20958
106	2507	20926
107	2524	20847
108	2541	20774
109	2557	20695
110	2576	20633
111	2596	20590
112	2615	20531
113	2633	20464
114	2648	20378
115	2663	20297
116	2679	20221
117	2694	20141
118	2712	20083
119	2729	20017
120	2746	19954
121	2762	19880
122	2784	19851
123	2800	19785
124	2816	19713
125	2834	19664
126	2854	19621
127	2872	19568
128	2890	19515
129	2906	19452
130	2924	19398
131	2942	19347
132	2958	19288
133	2973	19215
134	2996	19198
135	3013	19142
136	3030	19091
137	3052	19069
138	3069	19015
139	3088	18972
140	3107	18930
141	3125	18884
142	3147	18862
143	3167	18826
144	3183	18770
145	3199	18714
146	3217	18668
147	3234	18617
148	3250	18566
149	3266	18510
150	3281	18451
151	3297	18398
152	3315	18353
153	3331	18301
154	3349	18260
155	3366	18216
156	3386	18181
157	3403	18136
158	3423	18106
159	3446	18091
160	3464	18055
161	3484	18024
162	3503	17989
163	3519	17942
164	3537	17902
165	3555	17862
166	3571	17816
167	3589	17775
168	3606	17731
169	3621	17679
170	3639	17645
171	3659	17615
172	3676	17575
173	3696	17546
174	3712	17501
175	3728	17455
176	3747	17423
177	3764	17383
178	3781	17344
179	3800	17313
180	3817	17275
181	3838	17251
182	3859	17228
183	3878	17198
184	3896	17166
185	3914	17133
186	3934	17105
187	3950	17061
188	3969	17031
189	3987	17000
190	4010	16985
191	4028	16952
192	4044	16911
193	4066	16895
194	4088	16878
195	4106	16845
196	4126	16818
197	4146	16797
198	4163	16757
199	4180	16720
200	4197	16684
201	4212	16641
202	4228	16602
203	4246	16569
204	4265	16540
205	4281	16502
206	4301	16479
207	4317	16439
208	4334	16404
209	4350	16367
210	4367	16332
211	4386	16303
212	4407	16284
213	4426	16259
214	4444	16225
215	4462	16198
216	4480	16166
217	4501	16148
218	4521	16126
219	4539	16093
220	4554	16053
221	4570	16016
222	4585	15977
223	4604	15950
224	4623	15924
225	4644	15907
226	4662	15875
227	4681	15850
228	4697	15816
229	4717	15794
230	4733	15758
231	4750	15725
232	4768	15697
233	4785	15665
234	4800	15625
235	4816	15593
236	4835	15568
237	4854	15543
238	4875	15523
239	4893	15495
240	4914	15476
241	4934	15457
242	4955	15438
243	4976	15419
244	4996	15398
245	5018	15383
246	5041	15369
247	5063	15353
248	5085	15338
249	5105	15316
250	5126	15298
251	5151	15290
252	5170	15264
253	5191	15247
254	5210	15221
255	5226	15189
256	5245	15166
257	5268	15152
258	5287	15126
259	5303	15094
260	5320	15065
261	5335	15028
262	5354	15003
263	5372	14978
264	5388	14946
265	5404	14912
266	5418	14876
267	5435	14846
268	5453	14820
269	5471	14793
270	5487	14762
271	5502	14728
272	5521	14704
273	5539	14678
274	5555	14646
275	5574	14623
276	5591	14593
277	5607	14563
278	5623	14533
279	5641	14506
280	5657	14475
281	5676	14453
282	5697	14435
283	5714	14407
284	5730	14377
285	5745	14343
286	5764	14320
287	5782	14296
288	5799	14268
289	5817	14241
290	5833	14212
291	5848	14181
292	5865	14152
293	5884	14130
294	5905	14112
295	5923	14087
296	5941	14063
297	5959	14039
298	5980	14021
299	6000	14001
300	6019	13978
301	6036	13952
302	6056	13930
303	6072	13902
304	6091	13879
305	6109	13856
306	6127	13830
307	6144	13804
308	6162	13780
309	6181	13758
310	6199	13733
311	6216	13708
312	6236	13687
313	6251	13658
314	6267	13628
315	6283	13601
316	6299	13572
317	6319	13553
318	6335	13525
319	6351	13497
320	6367	13468
321	6383	13441
322	6404	13424
323	6421	13398
324	6440	13375
325	6456	13348
326	6473	13323
327	6488	13294
328	6506	13269
329	6531	13260
330	6551	13240
331	6569	13217
332	6585	13190
333	6603	13167
334	6623	13148
335	6642	13126
336	6657	13097
337	6675	13075
338	6692	13049
339	6710	13026
340	6726	12998
341	6743	12975
342	6761	12950
343	6778	12925
344	6798	12906
345	6817	12885
346	6834	12861
347	6855	12843
348	6875	12824
349	6893	12801
350	6917	12790
351	6950	12794
352	6992	12815
353	7049	12863
354	7088	12879
355	7117	12874
356	7146	12871
357	7171	12861
358	7190	12838
359	7211	12819
360	7231	12800
361	7253	12783
362	7276	12769
363	7295	12747
364	7321	12737
365	7340	12716
366	7364	12702
367	7395	12700
368	7423	12694
369	7445	12677
370	7470	12665
371	7489	12643
372	7508	12622
373	7527	12599
374	7550	12584
375	7575	12571
376	7596	12553
377	7617	12534
378	7639	12517
379	7659	12496
380	7682	12481
381	7701	12459
382	7723	12442
383	7744	12423
384	7765	12405
385	7789	12389
